"","model","gene.markers","mode","n.iterations","n.genes","weights"
"A2B2C2D2E1F2","nnls","NO","standard",500,"200","cd"
"A3B2C2D2E1F2","linear","NO","standard",500,"200","cd"
"A1B1C2D3E1F2","nusvr","YES","standard",1000,"200","cd"
"A2B1C2D3E1F2","nnls","YES","standard",1000,"200","cd"
"A3B1C2D3E1F2","linear","YES","standard",1000,"200","cd"
"A1B2C2D3E1F2","nusvr","NO","standard",1000,"200","cd"
"A2B2C2D3E1F2","nnls","NO","standard",1000,"200","cd"
"A3B2C2D3E1F2","linear","NO","standard",1000,"200","cd"
"A1B1C2D1E1F3","nusvr","YES","standard",100,"200","d"
"A2B1C2D1E1F3","nnls","YES","standard",100,"200","d"
"A3B1C2D1E1F3","linear","YES","standard",100,"200","d"
"A1B2C2D1E1F3","nusvr","NO","standard",100,"200","d"
"A2B2C2D1E1F3","nnls","NO","standard",100,"200","d"
"A3B2C2D1E1F3","linear","NO","standard",100,"200","d"
"A1B1C2D2E1F3","nusvr","YES","standard",500,"200","d"
"A2B1C2D2E1F3","nnls","YES","standard",500,"200","d"
"A3B1C2D2E1F3","linear","YES","standard",500,"200","d"
"A1B2C2D2E1F3","nusvr","NO","standard",500,"200","d"
"A2B2C2D2E1F3","nnls","NO","standard",500,"200","d"
"A3B2C2D2E1F3","linear","NO","standard",500,"200","d"
"A1B1C2D3E1F3","nusvr","YES","standard",1000,"200","d"
"A2B1C2D3E1F3","nnls","YES","standard",1000,"200","d"
"A3B1C2D3E1F3","linear","YES","standard",1000,"200","d"
"A1B2C2D3E1F3","nusvr","NO","standard",1000,"200","d"
"A2B2C2D3E1F3","nnls","NO","standard",1000,"200","d"
"A3B2C2D3E1F3","linear","NO","standard",1000,"200","d"
