	Cancer_cells	Stromal_cells	Macro/mono_Lineage	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
LILRB2	25.665097722166	37.9083963415294	3370.63863396992	19.6622224194186	3.67306165936539	6.51215426584544	7.43561639109882	1.74024100615621	0
C3AR1	98.519523666298	37.6324407230143	4043.31351443016	4.44405537319002	217.780109464776	122.199130600953	227.842221582744	46.9181355908104	99.1267637373876
ITGAX	113.002789474149	89.5639135294364	3460.62036013344	134.319756353859	11.5989864258469	2.41653662236953	29.1058761771644	116.260223082716	10.4557277703967
RASSF4	1313.72800451772	945.734125553626	4424.68696179227	11.0532296053051	24.0906731239338	11.8914763795856	62.7656378058246	233.621946954258	6.59401389876459
SIRPA	913.619448741382	1043.35193567237	3386.25699758297	23.1559579468831	5.02380151930754	13.1686544586429	9.66492993860476	1.05865811024517	0
NPL	794.796868006077	85.0844942099931	2878.3297155012	7.47849778679614	16.8590619489242	25.1364828792043	80.1577151117653	26.3430494217479	26.7047032986983
SLC31A2	1178.68370799664	982.54028480712	3253.46587680332	16.739871104933	96.8651170445878	153.214454665202	39.5553339605477	10.3020987104781	26.5552214008535
GM2A	2211.2207251504	992.14062638339	4675.80304872943	132.391959720874	64.0242306031185	15.5215589988234	104.429634397265	65.7671474790068	19.3496183510572
PLXDC2	1069.86475224431	5371.25489702094	3883.47419585106	0	4.18783815915589	10.5705910426676	5.78580541802068	11.0835144254992	2.56309452028836
LGMN	11825.4772890701	5580.29434605408	15641.5713516189	408.870860754808	179.060037228543	83.7702790872916	218.910526252592	33.3437637610147	13.5266494155816
CXCL3	124955.22277122	24512.0989140608	60051.2323517319	261.191008952505	216.298489441148	311.399382926542	792.663393480129	255.975290707057	235.177019010296
HLA-DPA1	7101.75086591718	8398.88021795801	100621.50828974	16791.9246546664	1725.45154770754	921.222323358017	9564.95541642522	1034.67382637825	2873.4378048345
CAPG	29625.6600172815	2575.93785663051	25760.586504412	1477.07038461209	845.857112982024	1392.45331789431	6063.84573930408	1115.9197286846	790.733897052738
HLA-DPB1	6161.92905278304	8200.6952501904	101227.175442682	18892.026850055	1881.1510395481	879.371349722672	10883.7614664667	1732.93850359799	3043.06607681414
HLA-DMB	2265.23785917338	862.123612877827	13018.4112736205	2530.28219714519	110.510197013836	58.517165161506	909.201274569313	127.324450909511	197.838067604012
ANXA5	27877.0507419874	36607.5616034402	21184.4616292078	620.271729895463	932.421273597319	1094.77006494093	6537.28740015603	497.931772044084	982.17937110441
CCL4L2	3094.97713354778	1260.6561127448	66900.8900125126	149.41252815308	136.379584308372	1266.39709232084	13327.3625202041	4828.5523254992	4740.61798413345
SLC43A2	2457.71748783877	547.029604078098	3751.37215551097	249.389568324744	61.475001298063	21.5062320851912	26.5335932467452	52.5437914255446	30.4630128367458
SNX10	2611.44046355475	952.802850317059	6569.10864933058	507.612728232435	226.657733452357	128.926760986819	1387.77729769151	273.053783843285	206.916340920363
CCRL2	2150.87611531057	415.661678903417	3935.49174994679	113.814763183312	58.4229287742837	24.5336245396884	195.481219330726	62.1740536507413	85.0901356928964
GNS	5089.13693600771	3630.07398212695	4901.42177569338	42.8075595404646	62.5727519224257	32.6296500380558	222.580951396104	79.8953560606036	43.0791688358893
CD74	61819.2584046222	45082.692344935	312077.662721682	87409.3842286531	8222.84414489626	3758.5427486204	33338.977593613	3982.16514526294	8145.79916576884
BCAT1	107.777041367582	2990.53671652016	2947.21387654375	22.6687124210878	18.9424825313561	18.4741780910991	328.490254583421	10.1216519771902	12.4871891434526
HNMT	18191.5841501189	5001.49306057502	6567.70936147953	54.9948349724945	22.5594358655043	32.5701881002581	74.8203691522517	13.5527457576585	28.4742652424367
QKI	803.3640603249	6966.50749193857	5409.04533367003	233.327231166212	203.841735146222	194.877539021148	517.037866953498	340.31209808491	79.4400690113598
NINJ1	6913.1791946629	7932.40059564378	13539.7824249313	132.253928657583	1316.0024865408	611.775828075721	2077.0262584662	554.128429306202	418.335975281436
HLA-DMA	5725.78050036951	2455.91683142256	23007.8954185172	4422.6327218675	804.484619597496	573.342908361923	3164.4582860275	365.780209820417	791.246159230313
RAB20	10981.5251522074	966.088397003707	4299.27414236827	102.902598516158	12.2016086863501	61.360703406243	111.731165419543	14.8360302975782	43.932712656674
SDCBP	38380.2800814234	18781.7045541167	22692.2075024106	1164.86618569392	1494.11511994314	1460.65417219667	3310.76329692765	1574.35719088399	1127.14106258336
CD4	254.614926117851	524.28393094219	6801.89495554653	75.9528287029967	1271.906327839	513.575107185979	1303.38879441688	0.414299420407811	18.5599585032197
MXD1	13556.6801451058	1484.66519283689	6514.40173025359	90.5000130676237	212.599925638509	231.588352653678	536.608868444708	202.609359418085	125.3195940374
HLA-DQA1	2406.98350923092	1410.22904602223	60344.2907132396	10727.9545697661	958.857679372388	274.696345136035	3859.76691984616	325.502967317984	1045.18956961885
CTSH	20701.13458649	6413.45933990381	14274.8841956585	1766.21767668298	282.742945495185	756.546542535382	1819.70050317156	33.9027487129822	180.308816565419
CD83	2732.51045767765	2331.56835627349	16164.7902360977	5938.08162938555	927.316840485493	383.617809707971	2158.91051659961	1087.39072398615	245.593062288151
TMEM176A	49346.3358054738	18966.9520510753	10107.7927582953	165.056927435283	51.0587177191084	51.9844670945359	114.787063543487	76.1017043555992	40.6243514587417
LITAF	18029.2167340702	12095.0246616577	24829.623052946	1913.37514510642	954.02555473181	1104.66603411301	3172.75102308253	2971.68280245491	1915.50467898978
FNIP2	6177.65708076473	5163.574416786	4504.40284977464	2.0371465970871	56.399582432198	55.9426188598078	68.5487628714043	92.0052700936863	25.8797079222415
HLA-DQB1	6282.592606171	2749.16241276847	42314.3835404936	12074.2045077971	846.113733734982	381.506479037057	4738.9961826466	338.017107117428	1075.20099347177
DAB2	11721.8784585766	8471.65935048631	8675.46148569571	20.9043499024371	16.2206048683073	16.4889557671131	73.6288827626953	46.5852612887843	29.0445879918874
ATP6V1F	49687.2149132838	14964.7760079291	23725.4294084325	1115.89096634883	1405.54047110221	975.419547197426	4402.49754793416	892.210011598322	1082.04720846111
