	Cancer_cells	Stromal_cells	Anti-Inflammatory_macro/mono	Pro-Inflammatory_macro/mono	Other_cells	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
RNASE6	701.969244704915	23.0043525110861	14342.9188849829	3209.88296685049	930.163244246369	801.089901696058	20.3962186205802	10.3731361990217	119.48421493941	9.73769419697862	52.2543237966098
CSF1R	87.1762640428647	99.49700829353	12448.8311947606	1595.22176245986	348.137587698953	3.60038937063463	1.06962630739382	0	137.854693035626	4.67690098046061	1.79920436385017
PLAUR	43506.564298943	9372.00499829926	47187.080837189	32427.4096407078	1921.9461783602	116.199220583019	284.680237009158	226.045572246247	720.752467159673	138.928398877889	145.802474702391
STAB1	106.363642896484	1597.86208832111	11263.1076020991	691.959987581169	156.222594220671	10.4807609450915	7.6229943103129	2.88081897667658	20.3225789376121	0	4.26041840695649
FOLR2	257.114365872488	33.7386641967841	8403.19403417537	207.723923384109	49.3000509977609	69.1998804485441	16.5491674987401	13.0057933919705	8.10059422264658	0.9978282680269	3.01289314680033
C1orf162	192.384912649267	331.11061349025	15441.0629408751	5212.64750378157	1001.33647682766	332.218440107779	58.341239599306	596.914334324562	598.599857575045	639.493247315442	114.679969845063
PLTP	4080.50725027797	6751.43865679074	9195.15006131419	144.318016501842	51.7338895700075	10.173649349643	6.90632564798676	17.2509667322441	62.2097464540348	26.4541807944975	15.0042178800954
VSIG4	53.3082364602054	21.9933212711809	8073.80547813648	658.377361620402	81.8648773939274	0	10.8401748701562	15.5134985115505	0	0	6.75930823886195
SDS	138.7409132598	131.874249866559	10084.117578665	1678.38736945779	240.950859827442	1.03550607271521	5.74536987169769	10.536935026714	4.56553581761992	1.67927840936772	5.92661581436942
MFSD1	5130.33739732666	1890.94658163211	11909.9666913782	1672.48526930216	377.772445238434	87.1910141366388	148.140996374266	114.40074854944	258.818388942891	170.674071113904	80.2683441999397
PPT1	6722.23219365339	5469.67672100272	17677.2575863686	3300.50309725223	985.269849391281	213.779844992395	537.110479357272	320.357655382607	2004.93766253608	202.927284801126	422.07550330011
GM2A	1768.03331519971	798.800751665617	10867.9727711262	503.37348574044	195.567912058697	167.590835345985	60.7088710250946	39.5600758398847	104.429634397265	65.7671474790068	24.8071985620056
LILRB4	23.468328423896	40.1853331725678	10654.3533029557	1249.84656202678	610.015284978488	25.8936968935429	5.30957496070857	20.4991446912315	0.787651034062448	6.04499110180113	4.87154501806433
TNFSF13B	336.605817382158	1969.87557990713	13560.8495634583	3345.5410315799	496.560705664572	37.2813404418213	268.959954446653	641.397479832325	450.172442447122	61.3090722784101	53.4968083247567
S100A9	6462.7024559774	743.414646607819	61368.0537757394	117689.619379538	1046.37931396893	55.1173135499925	159.337527772428	145.599043036151	344.336072890296	55.7283178147907	180.860545713592
FGL2	213.493123652764	1013.80592447101	16943.8026110725	4883.92211863975	859.509997854142	253.805733062955	171.822554937831	93.3672430577406	230.2509846247	299.893024429732	70.7037536517862
C5AR1	227.963892479362	116.409737183152	10303.6087434879	4802.38379105098	144.143079250171	0	3.04691988577579	14.0483701621139	4.59000565247887	3.48499254304754	59.526338692957
SERPINA1	28779.6426193109	873.325584101168	16556.6370322643	10555.9617432166	423.779334102885	131.16632757864	26.4624682723479	40.129927639846	109.468291005403	14.09899913606	60.7024967426737
HNMT	16190.5733661295	4662.51959542088	9900.88730084566	1550.76751289844	207.743135068947	23.0055062038244	19.967809494529	15.7067421456752	74.8203691522517	13.5527457576585	59.353345828919
SLC7A7	2704.64256469201	681.212461210723	10030.8314828297	1885.12371140414	156.764724898714	373.296828256027	17.766338968504	6.77961585061495	18.3212312484358	11.3903094654862	11.0251252548044
CLEC7A	119.424381418292	72.2169154605018	9951.19758404076	2986.38470939481	294.94142418131	0.513379675066885	231.655580563004	157.627648197636	213.29523031379	20.7733675571603	23.0331036437405
MNDA	24.5548795001641	178.509246251814	10815.0411032959	5165.19050561558	540.033786779088	183.704596646345	24.9704242550875	1.5295050240301	6.24810626817569	5.88262710902945	24.8991152959123
FCGR1A	0	15.3715866888971	7981.88190134936	1277.80614453426	45.9884956229902	1.70859481002364	5.29118003919121	4.94376642776245	97.2495963382239	1.25296771410063	0.8397127759273
SLC11A1	420.197568124686	244.969262698408	6998.06158346037	3879.91651963716	80.2503068979094	108.918961756698	3.25734584048228	12.5589986558661	29.3133603091557	5.68665808644322	15.9889862906016
MPEG1	26.2583025377997	48.7774305538231	10455.6256808456	2437.13205292775	608.067784706191	396.212280601742	0.675536120210196	1.348089381153	3.97070670825493	5.34035793815786	0
LAIR1	143.475118321816	238.895956163572	10321.762620963	1110.30084520899	439.03117714791	61.8621862749317	91.6353112512513	156.406482820838	383.548860943952	158.07440684378	68.0722499952175
SLC16A10	310.039951021692	74.2701005796006	4715.40426551989	942.127424492415	83.0578653263994	6.90436266769193	48.9254126596617	4.69402702067229	44.873441277546	0	9.19623613948212
ATP6V1B2	4761.31600471901	2064.78211256415	10917.1232346864	3370.87603562657	443.011936012632	131.699016131145	329.732162998496	148.938482356324	505.219950190864	139.336408450864	188.8787420087
CD86	64.7855461604015	27.5608213278083	9285.75164240416	2110.52502057642	531.58266347398	673.225096002661	21.7770188476989	28.1176476601964	194.988757101114	2.2202278593668	47.392836668976
FAM26F	281.255116910816	722.398550674672	14906.3050521543	4228.4589185337	383.224406094702	387.144530916084	79.4347246805132	10.4348456305205	115.224382558702	35.0745317962685	9.60556863119345
NRP1	900.923331772112	7742.84867078909	7091.84346131339	480.22480595949	184.667641051307	21.5679599002806	7.62043283256217	10.4742993201098	51.3421717628279	11.8902592021485	5.8879220800939
OLR1	369.08300735881	158.166517128167	10275.193484799	6737.53394165415	245.975120756561	1.55128787198128	1.93891519904157	26.1232458858798	6.98481487617358	1.12491538626887	6.03778856833338
LINC01272	1396.56669929428	78.6670744758432	7704.98400212433	3898.04855325486	75.8914956051973	2.05961058262337	3.9759096569057	23.9133851388661	3.34362985689385	58.5672422713644	3.25830939645606
GNS	5788.74635547405	3368.57445865577	8609.79214100368	1590.95891468386	280.084900559808	14.8847243405274	45.0919200609002	66.0819775086783	222.580951396104	79.8953560606036	90.6186814722178
C3AR1	59.9586996471389	129.019358920677	7767.44028950362	1396.83887116854	241.907279342936	8.78688638162792	259.554336045005	151.522377914718	227.842221582744	46.9181355908104	100.50204444594
NCF2	219.358651033724	246.400517326175	8516.38074843426	3266.64308501113	265.754959223834	76.4742389467781	23.7867571067308	6.53653297081193	32.0208272940245	2.124000752137	0.371536623747864
PILRA	70.9480756826766	82.6289936485575	5049.04081249463	2569.42333776142	90.7286717050383	20.6847460504802	31.7244348236009	0.962515903993502	37.3993795632775	1.11516561197995	5.44419140410726
VMO1	321.296399659717	149.258168008228	5628.55883694154	318.067328304279	161.230548632401	2.486845116393	8.70997229502063	10.9352808793727	0.677774438950478	6.90042266264753	2.05569093639247
GPR34	11.9991320019207	8.90333759228388	8149.19466111863	281.392613991785	340.78127924272	39.1474109823068	80.9684389127721	113.830673944228	236.858996300937	40.8881264871435	54.7543815457497
CPVL	1603.95365422837	561.194229198177	10268.5444063373	3517.45053301505	746.545988373587	23.2425548492597	3.2364602501656	10.8744246996347	1.59643928143327	2.88934330223853	0.997139908978435
RASSF4	866.667445573513	987.334588528298	8678.90434791411	1098.87834132519	257.640664524913	4.38398028496614	14.4320468939387	11.8113496020114	62.7656378058246	233.621946954258	17.4527431251401
ADAP2	193.519086841998	1856.28497410092	7289.48635379947	370.823694257507	132.5514095042	13.41451314905	2.97870599695897	0	2.78668610968948	0.81748121701314	1.2673852250141
NPL	762.284945518752	211.481273102521	6211.02484301672	615.398892354197	25.9983110385928	10.0746257168982	21.9164921477649	14.8977815276348	80.1577151117653	26.3430494217479	12.9898238135667
IFI30	980.56612513507	205.211347055206	8989.30664361745	4165.62773682844	442.419430940539	441.682819641529	3.47126881576853	7.8076199934759	14.5844634468555	27.0521125710624	16.7921817929088
PLXDC2	675.123498242989	6351.56475762678	6328.09445115268	1517.13791295993	141.757050670616	1.61904160427803	2.74134458696781	5.89559645082289	5.78580541802068	11.0835144254992	1.23048363965829
ABCA1	2589.5834471762	1971.55285110139	7166.55376433329	1371.2488275945	140.438319234583	32.6467908052505	15.3090571822095	32.7347322596791	38.7446473696717	102.03659189849	13.4312959755516
C15orf48	122060.581187743	3763.22981979623	54080.4965774007	44974.7776161113	3346.93881943666	210.678207446962	206.578286210184	236.328375186696	613.074884656464	167.345836003933	148.809665610055
LHFPL2	1848.71177654382	2292.70748707611	5081.64881928303	485.738929971665	50.0665589970773	54.8607447319644	9.3548669654723	16.3861063829024	120.863510189385	5.90511783708509	7.62331411889437
KCNMA1	709.738956996115	522.559073330406	3749.72483312641	224.691534661521	10.29269565775	5.61210543265074	0	1.90283268531312	0	0.885138022786884	5.06331256909714
CECR1	242.361335570342	381.56585590978	8364.80194004382	1516.36940069859	392.567532442225	260.568821414932	39.4060146096896	78.5320414464778	336.268891364204	97.8375040202888	154.744662724678
SIRPA	794.582454977633	1349.65158514839	5227.52452843412	907.974039816122	116.352288411701	36.2935803604842	1.82022986387903	5.75138773881512	9.66492993860476	1.05865811024517	3.84885306448357
CLEC5A	127.340991995465	40.3526561878615	4244.83304049916	1329.9203717153	18.1767754211561	0	1.75521496645953	7.00576417949879	0.755836211626676	0	0
SLC15A3	568.76025731324	1129.80732559822	5139.75257707244	1192.30334713446	115.65949581503	66.3858895344538	1.66736900005075	3.49722341669415	17.0280708752553	59.6760869029546	1.32601932800106
HCK	51.1579483563186	427.458040588702	6190.94191019954	2379.07044353802	292.797901687107	69.4106569391363	4.03548340096569	13.2664772015376	5.09703255766743	0.776483714286774	4.66305079765652
MPP1	3807.00101970479	834.086375762035	5997.16951359835	1137.99669136862	197.616744689491	41.9562608305675	66.2578609162744	42.7761134421864	225.425882572908	21.2476716389945	40.991796133853
GPX3	1481.62655827722	5966.55669719084	4401.49860665001	262.75329572332	33.5338983389025	25.7654950874805	14.4455087973187	5.5498754529303	5.76735443595109	1.7210231861271	6.70169115650639
ITGAM	780.478353641201	15.9002769329568	4137.83245974016	1080.37459423104	207.541169129478	65.268520770151	33.452425619088	3.4549397051352	21.4198945620255	115.671644168954	3.49334592023671
CD74	49612.8936116825	43653.6310328806	657497.288238012	70082.9914990932	47055.4504791136	95838.8633446613	9129.81920828676	4356.04003847709	33338.977593613	3982.16514526294	7778.67156183683
TTYH3	7796.82419470231	3526.89191825779	7021.4318403439	699.96393583739	133.250726392599	62.7675182211287	49.1118991481035	59.3898568486411	279.852334197899	59.0694590907788	42.6048595597995
CD4	145.636202302839	901.240519857107	10988.9491028754	1534.49058176578	446.321166218613	5.42459713541425	996.652061331962	526.528485317968	1303.38879441688	0.414299420407811	19.597685169697
HLA-DMA	5306.03170446232	2565.95818399205	43228.3869343634	6451.11104381037	2683.16444171092	4839.72921026289	752.457881936633	232.704782901979	3164.4582860275	365.780209820417	748.987597897897
HLA-DPB1	6357.43513464428	7273.41268219211	203941.469225159	27326.7220116605	16691.2686514254	18571.3036492147	2193.89663214022	982.748474329988	10883.7614664667	1732.93850359799	3287.41631144881
