	Cancer_cells	Stromal_cells	Anti-Inflammatory_macro/mono	Pro-Inflammatory_macro/mono	Other_cells	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
CKB	100813.431156217	2437.80836024008	1699.75215161847	242.414130606904	215.971446652861	159.697603239022	133.152467814398	124.351138764586	408.673980566799	86.6370356597844	93.8323944724713
MAL2	47326.8322528148	433.079525502933	437.414153126438	106.242867923366	106.656817905339	16.2010122747467	80.9651143050996	64.8060562973478	113.586583098619	55.1531869281661	48.1221141940914
PRAP1	66944.655653329	701.379342287745	697.519964514401	156.716556045752	227.59263680691	269.756806559808	100.107373619564	157.086700365081	382.273360390897	94.0994677184108	72.2251798542449
GSTP1	347203.712268302	51511.0856610407	34503.1140968903	11071.2468942706	8458.8449007925	2246.59338732378	1225.44894127164	1299.38128558331	8345.70585848594	3595.26012066931	1717.05419040437
PRSS3	70448.3886265331	1315.21677964787	346.573329734268	209.412819484053	190.364135522867	58.1819753612371	71.1328380839199	70.9803941490971	234.704539708773	151.960055860421	40.3561436827128
S100A16	78747.2269460713	20591.3555087045	964.292616790657	305.203874453191	249.088814204694	134.248845381222	168.507127706366	117.864073405981	252.508422154509	136.894106673775	59.812644859627
TSPAN1	63849.4634572418	924.549370880911	542.539836748977	190.319635684343	139.370764197453	132.346940516841	58.8979993922765	104.836352940885	327.628313869954	26.6521934410876	57.894068718811
ATP1B1	102032.939893663	2856.66509003995	3699.15090318159	834.836124677256	552.622836595436	146.408465342868	477.037093792525	98.877056010131	376.112651097664	169.08390916127	148.32521444364
MDK	60161.075428687	20306.4290702483	632.410817192353	195.727448190602	226.362467646799	50.1705309372149	138.496712887436	126.181558600163	242.226567342797	126.252429191021	162.308053764457
CD9	204945.642537	28067.0759858631	23849.2004852606	1960.1176226945	3113.44595531506	524.250200986058	267.20069141298	275.582533102577	985.217193449139	635.004572655399	472.885613382176
NQO1	59610.1734970882	3625.01801225087	938.507502102044	172.814213824828	173.558661625253	73.6421592007886	181.064087588746	99.3907953612841	359.28867044326	144.039440119665	130.215228640972
MGST1	63961.3759032471	3773.17568582655	2739.67263412261	1005.05989737652	228.685506704671	182.647523098785	55.7388708614533	74.6169126628388	337.36489515698	123.555002089774	30.974713242404
MUC13	58320.4845259771	851.075628811871	470.873051939688	197.680594817443	151.005520418056	65.0368592046416	120.111209542814	111.592515341231	317.483850747207	69.5072998672577	49.8711375220629
TMEM54	53116.7482136244	2352.9059581655	636.180424964917	204.373837302491	49.2983184167679	195.581022193554	22.4308793164105	55.1454891993315	116.048334750392	67.5879362021406	45.7451506278242
TACSTD2	42495.8323183684	1195.19833537211	324.870441012817	133.880074345236	134.059261056266	13.4699727309727	64.4465088296598	44.5975774732812	157.10020963663	58.6539919063287	24.6710330881404
FAM3D	49207.6024817898	613.321309383968	211.038575676828	77.0077883013546	79.2850723863277	48.5407827413022	57.6330459145603	48.2865008552395	198.945379677195	34.4257654582215	21.2685393407168
CYSTM1	75055.1360485197	10613.9198095189	6014.39533467573	2050.38362624571	997.548295696538	733.072366644067	315.372837562005	443.051498449882	947.324844982832	283.281373798913	282.807900571136
TMEM141	79923.8885097598	6253.49456973755	3586.7360088575	622.525423718884	606.527177350274	504.78698594474	328.291848349188	297.487700756047	1298.01229032812	407.887701211535	288.332929211709
AGPAT2	58258.5458198831	4962.36312917578	4340.71329463669	778.992023365176	501.199558202757	196.78803151606	280.173084686954	222.146641098059	953.210576974377	254.266618766603	312.150855748786
