"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"TRIB1",1323,2694,4464,3645,1739,3187,4520,3829,3390,1240,3340,3108,2451,2066,1865,3403,1402,1112,4441,2182,3619,4884,1764
"TRIB2",662,1382,4641,759,582,852,784,332,276,722,650,684,1193,678,484,463,1373,844,1423,779,707,617,593
"TRIB3",823,1637,1482,604,3512,771,644,1556,1506,162,1041,921,608,1481,1389,356,821,200,1538,923,313,2644,521
"TRIL",177,387,1006,263,138,191,473,236,54,280,97,72,57,466,271,48,328,40,97,214,74,83,108
"TRIM10",12,12,27,0,24,4,69,11,49,15,15,10,44,16,18,13,3,0,62,67,89,55,22
"TRIM11",1019,2060,1845,781,2476,1445,1852,2102,1353,920,841,1099,708,703,1013,909,953,535,1291,1979,1932,1958,437
"TRIM13",1231,1744,1163,1006,1963,1442,2634,775,4518,1128,2276,1106,1051,1190,1258,1188,2106,223,1813,1858,1113,2064,516
"TRIM14",1505,3337,4313,1330,1727,2440,2415,1664,2825,1207,1432,2525,490,1316,1037,1098,1132,848,3347,3677,2152,3503,1033
"TRIM15",277,211,298,29,172,124,360,65,404,211,278,127,251,99,198,199,109,223,735,438,736,942,503
"TRIM16",953,1065,321,436,565,295,1199,482,1388,332,441,410,849,428,662,472,365,236,201,531,354,721,636
"TRIM16L",237,358,164,96,159,129,201,156,338,103,118,92,160,114,63,62,100,16,101,133,117,168,10
"TRIM17",19,9,13,0,5,5,39,42,21,16,17,20,12,11,0,20,11,0,0,0,0,0,0
"TRIM2",7796,13203,4002,4320,6905,5212,14311,2747,21263,6431,14603,9327,3903,7744,6418,7355,6047,30,8455,16343,7890,10923,820
"TRIM21",951,1032,2227,329,487,556,1599,428,1936,782,808,425,422,678,387,472,665,195,1058,1005,897,1334,503
"TRIM22",2404,3655,11888,1080,1656,1262,4201,550,339,1640,2083,1261,774,2203,1085,1115,2056,3428,1660,1413,1072,513,2421
"TRIM23",511,715,599,564,427,455,1315,308,864,516,791,445,424,596,481,558,924,45,552,363,375,479,123
"TRIM24",1240,2243,1372,1786,1275,3137,3276,1276,3109,1082,2287,2195,917,1750,1687,1463,1906,605,1892,2138,1519,3242,374
"TRIM25",2392,5376,7383,1947,2575,3542,3379,3105,5632,2355,2855,3454,4508,2689,1748,1594,2026,2780,5853,4382,1343,9621,1726
"TRIM26",117,105,1356,341,686,379,522,423,441,253,169,245,325,426,248,333,144,194,791,409,717,577,214
"TRIM27",838,884,964,333,522,405,1241,613,1127,394,786,377,425,668,470,599,446,433,1010,805,591,986,380
"TRIM28",4500,9382,11192,5161,8749,7031,8577,11101,9610,3206,4953,6180,3288,4419,5157,3723,4511,3430,16525,11879,5869,13989,3925
"TRIM29",1047,1946,955,147,209,393,822,355,1642,354,2685,3241,804,1248,216,1435,265,420,1403,525,18,5503,1379
"TRIM3",318,752,799,529,553,658,1433,710,1158,329,368,427,265,204,365,233,501,543,698,937,922,1314,57
"TRIM31",228,456,216,474,491,486,2221,156,16,589,70,63,287,155,322,234,80,568,1154,171,978,2542,1046
"TRIM32",507,1189,939,580,847,695,1554,955,1177,561,642,733,440,612,299,506,564,278,857,802,1110,1024,139
"TRIM33",2967,5327,4571,2235,2368,2844,7073,2548,7050,2074,4422,3466,2740,2969,2607,3075,2506,699,2964,4407,3205,4785,1210
"TRIM34",2,3,11,0,36,0,9,2,8,5,4,11,0,5,7,3,8,0,0,0,0,7,0
