"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"ITGB7",500,689,2947,107,183,464,970,246,100,386,669,489,176,564,305,239,296,184,756,389,282,452,341
"ITGB8",1007,1793,1484,3300,2219,1985,6344,2711,8459,1100,6499,5223,5366,1778,2427,2553,4701,325,1196,3852,2390,2923,540
"ITGBL1",132,196,487,706,5,383,293,197,117,89,596,244,276,377,602,184,1416,31,266,1291,244,12,205
"ITIH1",2,0,20,0,0,0,3,0,0,2,6,0,0,2,0,3,0,0,0,0,0,0,0
"ITIH2",7,8,0,0,0,5,11,1,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0
"ITIH3",2,13,22,0,2,22,15,13,11,20,20,3,1,15,52,11,64,23,26,19,19,13,0
"ITIH4",3,6,6,0,0,6,7,13,0,3,2,0,1,7,0,4,4,0,0,0,0,7,10
"ITIH5",69,126,1385,557,260,1268,1724,737,415,993,1476,911,111,596,105,508,1581,578,1486,2169,908,1567,78
"ITIH6",1,0,3,0,0,1,1,8,2,0,0,0,4,2,0,1,0,0,0,0,0,0,0
"ITK",409,763,1728,306,79,378,378,254,38,254,624,452,78,658,110,347,539,703,643,171,58,184,94
"ITLN1",4894,5911,2586,3,535,1151,32263,14271,0,2673,2654,471,49,4,1,787,591,0,10,52,8384,29,33
"ITLN2",1,1,0,1,0,0,1835,200,0,1,0,0,0,1,0,0,1,0,5,0,39,0,17
"ITM2A",190,219,1374,154,124,148,622,176,30,261,394,315,184,462,68,154,491,31,303,63,274,108,265
"ITM2B",4769,7264,18401,5019,3916,6198,13977,3954,15415,7252,9113,5626,4704,6720,6732,5781,7940,543,9581,9950,8160,12649,9891
"ITM2C",5860,6349,12879,1544,4305,7231,22275,7614,6979,12126,8621,4352,5467,1834,5077,4283,2914,299,4058,6651,21787,23837,950
"ITPA",1038,1338,1755,762,2241,844,2308,1656,853,605,1500,1315,625,1045,1276,502,807,379,1317,1616,978,2989,625
"ITPK1",868,2415,1392,685,686,812,971,969,721,329,414,395,374,613,774,516,688,719,823,800,623,1219,359
"ITPKA",216,279,735,195,766,108,276,118,442,208,112,128,77,75,308,142,83,310,67,299,303,141,140
"ITPKB",547,1108,2228,1056,1994,950,1238,1988,1445,616,843,1040,454,890,1301,579,1577,1091,1104,1596,526,694,247
"ITPKC",617,999,1239,1744,1171,890,895,1244,1179,524,1029,1087,584,572,1406,1386,684,1505,1887,1827,921,1726,1429
"ITPR1",1185,2247,3083,1906,1300,1907,3223,1858,1194,1813,2290,1721,931,2035,1683,1283,3556,1456,1213,932,808,821,265
"ITPR2",3698,6106,4321,6817,5731,8003,11714,8347,4790,2862,5847,3694,3386,6548,3137,3231,6026,2421,11246,9243,2868,2484,598
"ITPR3",7236,19525,11745,8088,12993,12905,7934,19079,13804,5391,6943,11023,5238,4873,9315,2955,4377,14717,7788,10201,5227,14743,1652
"ITPRID1",3,6,2,1,0,13,84,59,0,6,3,0,2,6,37,9,1,1,0,0,38,0,1
"ITPRID2",5788,10240,16418,5673,6897,8515,18198,4353,15654,8999,10280,6344,8509,5205,6921,9365,8120,2678,6827,15163,4641,13444,4083
"ITPRIP",495,1261,1843,1392,529,565,820,782,489,328,485,823,1087,669,617,494,582,890,1579,694,485,547,310
"ITPRIPL1",144,251,291,63,34,127,83,61,12,72,184,156,51,125,34,59,94,27,164,81,34,105,18
"ITPRIPL2",3769,5984,4992,3740,1926,3261,5613,2696,4195,2535,3136,2730,2633,2930,2529,2761,3313,447,4591,3300,3250,3764,1504
"ITSN1",1141,2171,2180,1170,815,971,1384,1921,1590,627,1458,1115,655,1164,1750,909,1045,528,2232,1032,425,2697,419
"ITSN2",2225,4008,5148,2605,2344,3241,4234,2096,4882,2543,3210,2528,2661,2842,2699,2385,2981,1227,3127,4403,2866,5318,1505
"IVD",1580,4066,3822,1000,2380,1683,3627,2500,2629,1103,1037,1407,748,1481,470,640,827,655,3563,3020,3940,2812,688
"IVL",0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"IVNS1ABP",9834,15012,10879,3997,12335,5631,21638,6463,12184,6060,8436,5066,16853,10784,10227,7293,8767,1119,9367,10768,9199,6820,2954
"IWS1",1874,1931,2797,983,1807,1296,3851,1199,2813,1574,2148,1064,1552,1486,1755,1489,1821,1051,2506,2521,2078,3273,984
"IYD",299,444,432,2338,2027,3004,3172,1083,6739,838,3492,2670,162,302,991,1993,1079,0,3201,4267,692,4102,353
"IZUMO1",1,15,23,0,4,13,18,17,13,3,2,1,6,2,9,5,6,0,31,22,29,0,0
"IZUMO1R",0,0,1,0,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0
"IZUMO2",2,1,1,2,1,40,169,8,0,2,15,0,11,37,0,11,27,0,161,0,39,82,0
"IZUMO3",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"IZUMO4",56,55,53,38,0,45,120,27,62,35,24,29,33,32,21,29,26,0,95,150,68,111,1
"JADE1",1075,1431,1738,598,994,708,1378,925,1839,655,811,516,927,904,357,649,897,238,1023,1387,1596,347,671
"JADE2",1441,2849,3680,1061,2024,1506,3287,1946,1704,925,956,1212,1255,1373,1379,998,1213,1243,1083,2964,715,1047,728
"JADE3",336,691,886,881,693,1100,1236,580,1184,526,1136,934,388,924,442,946,532,93,1799,998,441,2605,178
"JAG1",7275,12605,6152,3861,4343,6560,9531,6680,2313,3717,4301,3499,4580,6657,5379,2304,3477,1394,2944,2392,2017,6038,1143
"JAG2",108,337,1993,1882,2563,1124,1058,1242,1217,255,474,1091,216,686,1368,840,1524,1865,1500,3018,875,1945,88
"JAGN1",630,1115,1060,340,730,769,1215,654,1027,551,772,756,410,555,226,438,451,0,1469,744,1193,1569,742
"JAK1",7120,12224,12670,5746,4629,7006,15321,7135,10032,5507,14377,9189,5911,7401,6130,5810,7062,1972,8710,5410,6797,10635,2344
"JAK2",2563,5069,7248,1079,620,1203,3995,841,1622,1786,2204,1518,1680,1813,1106,1122,1582,1437,1182,845,1048,1803,1321
"JAK3",676,1380,4504,1376,727,1561,688,818,180,647,785,1339,453,1179,300,1119,1019,1833,2999,853,208,415,799
"JAKMIP1",14,23,12,0,0,11,1,5,0,2,5,15,0,9,0,3,0,0,0,0,0,0,0
"JAKMIP2",52,60,132,29,28,57,33,4,5,75,25,28,125,118,78,29,69,33,28,56,0,0,72
"JAKMIP3",6,40,51,31,0,7,20,40,6,11,7,0,3,21,16,8,32,0,10,0,0,17,0
"JAM2",39,104,382,126,0,127,237,92,36,235,142,47,53,162,78,85,365,0,103,78,108,26,32
"JAM3",260,324,918,481,157,573,1135,349,214,542,658,363,331,562,678,331,1176,188,738,549,393,281,106
"JAML",504,667,2598,413,403,1083,1326,423,116,1221,1365,790,483,1404,148,591,1333,262,1001,671,271,715,537
"JARID2",864,1302,2014,1644,1952,1388,2455,1651,2106,865,1468,1597,1190,1356,1027,1144,1512,1543,2388,2130,678,1564,346
"JAZF1",144,285,568,310,79,119,248,115,115,180,192,223,130,275,165,156,309,0,461,240,141,167,85
"JCAD",764,1491,1748,1526,477,794,659,517,280,504,594,421,1090,1099,830,294,1737,215,1416,706,227,214,415
"JCHAIN",1687,1453,26470,378,6420,20260,154379,5872,107,20329,25066,7601,243,18954,147,50002,12785,69,19203,266,12237,7499,675
"JDP2",565,593,884,466,234,236,877,320,572,312,390,299,248,356,268,291,397,221,601,390,191,483,330
"JHY",33,68,222,160,24,86,134,35,53,94,44,80,16,66,108,44,110,1,191,399,10,34,27
"JKAMP",821,1390,1799,516,858,714,2499,650,829,790,1373,671,744,842,876,754,1466,125,1783,721,1558,1379,894
"JMJD1C",3999,8173,4467,6415,4605,4294,11749,5091,10490,3649,9023,6923,5410,5131,5838,5162,6581,2690,4428,5619,4704,5211,1094
"JMJD4",615,924,544,444,706,892,1104,863,855,573,734,556,442,667,490,548,642,792,693,737,943,997,421
"JMJD6",602,791,1372,681,583,740,790,486,1148,596,809,638,670,665,495,878,569,918,1769,1129,316,1771,808
"JMJD7",33,104,66,60,81,89,63,82,183,26,21,67,11,37,196,29,14,101,38,101,8,14,38
"JMJD7-PLA2G4B",67,204,335,122,229,265,222,394,375,58,68,150,44,63,347,57,61,35,106,286,55,68,49
"JMJD8",819,1369,1766,625,912,1193,1713,1459,1360,807,809,829,631,849,766,782,857,695,1853,2453,2294,1846,1221
"JMY",836,1393,1665,1336,694,1236,3063,1109,3117,850,1707,1372,749,1284,620,1349,2085,529,1661,1375,876,848,329
"JOSD1",2633,3859,4001,1617,1400,2183,4239,1974,2141,2199,2831,1770,2595,2049,2467,1918,1492,458,3191,2197,1474,5209,937
"JOSD2",301,306,463,145,78,336,350,328,365,313,195,161,125,270,88,300,120,63,767,663,511,1070,367
"JPH1",768,1730,1251,877,847,1099,1702,1885,1811,530,1364,1657,1455,861,1070,382,703,240,1600,620,2836,4439,242
"JPH2",89,98,850,393,224,197,232,222,73,150,63,101,153,123,140,86,982,121,111,229,126,36,119
"JPH3",16,2,12,13,0,0,4,7,6,5,1,0,2,10,3,3,2,0,0,0,0,0,0
"JPH4",7,4,19,0,0,7,7,15,1,5,2,0,1,6,9,5,0,34,26,21,0,6,15
"JPT1",3000,2686,3748,880,954,1221,5717,1158,2826,2235,3873,1469,2012,2024,802,1924,1376,254,3257,1869,2568,6326,3176
"JPT2",3095,5095,4265,1643,2102,3096,5847,2461,4869,2500,3790,3094,2203,1986,2268,2069,2782,336,4539,5535,5227,7059,998
"JRK",609,1563,1710,1112,2035,1793,1448,1933,1278,731,959,1300,540,827,597,556,1115,468,1435,1968,775,2785,143
"JRKL",510,706,762,397,380,530,1390,307,672,367,996,441,494,450,764,388,936,148,1567,1178,1387,1564,138
"JSRP1",563,27,203,0,0,15,1353,30,973,745,61,18,676,611,3,631,44,28,56,42,608,23,50
"JTB",117,80,68,43,75,65,288,108,240,128,366,81,109,104,266,93,333,0,61,67,80,111,0
"JUN",4710,6278,16307,13627,7207,10159,19839,16917,14267,3107,14768,13663,5617,5491,8599,12999,3915,4811,16344,10384,10101,11073,2187
"JUNB",2337,2014,13825,7452,1927,4073,10568,3069,5978,3653,6189,3206,4797,6256,3832,10540,3556,3543,12908,5510,7694,9936,4306
"JUND",1635,1075,3113,2416,989,2202,4344,1905,3835,1634,1407,1350,1673,1763,2142,3264,1138,1694,2533,1590,852,1972,1383
"JUP",3729,9571,5336,9193,5509,10639,8386,11542,12591,2987,4323,6062,2719,3108,6971,4304,4043,3567,13274,16648,3986,24656,3794
"KAAG1",0,0,0,0,0,0,1,0,41,4,0,0,2,0,0,17,0,0,0,0,0,0,0
"KALRN",1618,2782,947,2380,717,2617,3128,1268,4649,1404,1586,1341,693,742,1517,1627,1687,911,1926,1940,2058,2655,333
"KANK1",2033,4444,2053,2018,3072,4082,6728,2134,4840,2660,3153,2616,1187,1364,2326,2316,3968,1072,2761,3581,1339,5558,635
"KANK2",926,1632,3992,2291,810,1995,2949,2162,1318,1100,1047,918,936,1184,1458,780,3113,1012,1983,3062,1271,1262,284
"KANK3",69,93,323,81,22,105,109,74,41,161,55,88,89,124,85,73,157,246,140,91,60,20,114
"KANK4",22,39,63,52,17,55,188,36,13,25,7,2,7,17,209,8,79,0,1,65,1084,44,0
"KANSL1",453,1038,584,682,781,1053,643,368,690,423,605,1058,232,234,821,473,505,523,999,636,335,704,74
"KANSL1L",634,1204,486,524,854,631,2333,631,1540,725,843,665,1003,612,879,591,935,540,671,858,500,514,149
"KANSL2",816,1371,1520,706,965,774,2133,769,1275,595,1175,838,631,822,828,689,1071,357,1199,1283,1414,1362,559
"KANSL3",1799,3921,3476,2305,3052,3330,3383,3542,4752,1915,2395,2711,1076,1948,1969,1652,2524,950,1813,4364,1777,3921,791
"KANTR",347,773,836,583,543,1073,1493,669,1566,555,773,821,377,928,419,736,665,288,1547,1138,705,1746,156
"KARS",2528,3068,7567,2013,2881,3854,9425,2967,6917,3755,7916,3945,3144,3932,3767,4657,5239,524,8616,5196,5169,9374,3359
"KAT14",612,949,572,389,606,974,1393,972,687,491,1146,708,227,757,387,699,333,172,822,941,252,1007,121
"KAT2A",838,2173,2307,1575,1272,1985,1613,1854,2796,696,1116,1364,381,772,852,752,984,4693,5683,4919,1288,3824,759
"KAT2B",305,570,1629,451,280,525,1574,383,851,541,815,593,456,739,608,619,1098,149,448,436,1048,691,152
"KAT5",879,1196,1981,420,644,968,2106,719,815,638,1197,710,533,933,754,672,948,737,1740,1944,1409,1991,644
"KAT6A",2700,5258,5421,3757,2951,3360,5943,5027,6871,2517,5520,5429,3113,4438,4842,2698,3251,1525,4668,4333,2253,6819,639
"KAT6B",1475,3608,1932,1369,1097,1596,2619,2101,2244,875,1541,1746,1229,1278,1011,1021,1652,587,1888,1570,2754,1661,328
"KAT7",1428,2839,2584,1593,1261,2274,3145,2247,3163,1318,2147,2288,1136,1638,1463,1128,1895,1250,2548,1945,766,2518,593
"KAT8",1006,1278,1679,596,946,1028,2187,1338,1751,1119,1368,816,601,902,1135,1059,1331,1160,2549,1619,1043,1635,452
"KATNA1",444,668,682,415,418,327,995,471,635,366,618,376,338,408,449,395,527,108,592,653,404,653,225
"KATNAL1",368,771,922,758,140,170,445,462,1062,546,787,561,273,510,316,365,931,222,394,372,226,645,54
"KATNAL2",113,233,39,44,36,53,235,103,87,43,39,55,13,103,65,29,145,54,68,34,55,12,53
"KATNB1",467,1037,1180,412,791,883,856,1043,944,525,768,853,308,429,413,659,566,1381,1475,864,515,1299,359
"KATNBL1",1306,2566,1867,1171,1097,939,3457,613,3004,1537,1320,946,2322,1650,1110,786,997,439,1840,1650,1333,1334,482
"KAZALD1",195,326,263,36,196,227,1114,394,685,281,227,176,369,105,120,228,237,25,361,192,394,524,133
"KAZN",177,360,259,259,338,711,651,514,760,456,332,624,141,111,238,302,333,271,506,318,175,656,197
"KBTBD11",43,22,16,0,0,42,107,9,95,32,8,4,2,21,40,19,23,0,0,50,0,46,21
"KBTBD11-OT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KBTBD12",303,646,54,0,0,252,1088,13,501,127,24,18,2,4,1014,19,379,0,16,1,277,12,21
"KBTBD13",0,1,1,0,18,0,2,0,0,0,0,0,0,0,1,0,0,0,12,0,30,0,0
"KBTBD2",1393,2606,2840,2076,1966,2128,4076,1664,5213,2100,3863,2297,1628,2109,2665,2399,4250,325,3612,3273,2195,3855,913
"KBTBD3",96,169,158,46,92,105,486,77,185,163,226,119,117,107,134,82,254,0,136,160,62,223,76
"KBTBD4",486,517,779,220,305,390,1111,335,1026,406,622,356,436,421,298,258,509,64,678,571,1109,924,305
"KBTBD6",708,840,633,475,865,628,1025,573,1149,416,789,487,543,452,339,557,839,63,856,581,741,1470,204
"KBTBD7",452,689,455,248,630,713,1011,581,1745,484,526,421,475,356,455,352,827,218,449,789,973,953,231
"KBTBD8",279,381,399,100,162,149,520,71,267,187,284,153,213,304,118,333,270,74,455,123,396,523,67
"KCMF1",1742,2815,2552,1310,2060,1675,2995,1481,3413,1746,2612,2082,1582,1477,1280,1274,1538,222,2564,2995,2418,4926,1037
"KCNA1",4,4,3,5,0,0,5,4,0,3,0,0,2,6,0,4,3,0,0,0,0,0,21
"KCNA10",0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,33,0,0,0,11,0
"KCNA2",17,21,123,179,297,314,150,39,76,59,53,62,5,64,4,47,69,0,61,795,19,722,0
"KCNA3",42,113,437,77,25,174,317,102,0,51,185,157,36,172,7,109,179,270,81,15,0,10,19
"KCNA4",1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"KCNA5",0,1,19,0,0,60,26,22,14,9,11,0,8,10,29,13,48,0,5,19,0,0,0
"KCNA6",6,36,17,0,1,9,135,197,12,11,4,11,105,4,0,6,50,23,30,0,0,0,0
"KCNA7",4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNAB1",14,7,33,38,0,7,50,20,20,27,11,9,9,35,21,20,92,0,0,0,0,0,21
"KCNAB2",546,1387,3460,1139,1190,1674,794,1182,1671,653,913,1936,583,904,1249,691,524,1061,1888,1379,139,2063,586
"KCNAB3",35,93,152,2,0,44,89,77,36,16,9,29,17,18,22,15,19,102,97,30,73,5,77
"KCNB1",8,3,27,1,41,29,11,25,19,12,6,5,2,11,0,13,65,1,0,0,5,16,0
"KCNB2",5,8,5,1,0,0,11,12,4,5,10,8,3,2,0,2,6,0,0,0,22,0,0
"KCNC1",5,3,2,0,10,0,13,2,17,6,2,0,0,3,4,8,3,0,0,0,0,0,0
"KCNC2",0,0,0,1,32,0,2,0,5,0,2,0,1,0,0,2,0,0,0,0,0,0,0
"KCNC3",50,155,209,13,39,28,66,262,33,15,20,37,19,43,114,30,15,142,170,38,56,46,1
"KCNC4",685,2968,972,541,1288,1342,1228,2055,1070,173,258,511,226,365,237,326,446,352,411,500,290,1109,310
"KCND1",17,102,218,109,74,54,45,105,39,18,15,31,14,28,32,12,27,0,121,138,30,76,18
"KCND2",51,92,42,51,38,3,22,5,4,29,14,6,62,127,94,9,49,52,75,16,0,12,0
"KCND3",360,730,865,355,135,323,659,278,30,453,251,148,70,351,64,395,724,240,162,106,79,20,29
"KCNE1",78,81,124,0,0,17,30,13,6,9,22,55,99,45,15,16,8,404,33,0,0,7,67
"KCNE1B",1,4,8,0,0,0,0,0,0,0,2,4,5,4,0,0,0,138,0,0,0,0,0
"KCNE2",1,0,2,0,0,0,1,0,2,0,3,5,0,0,0,1,4,29,0,0,0,0,0
"KCNE3",2788,2770,1512,1015,1447,2166,5636,1035,1481,1406,4529,2296,4233,2099,2110,1617,1559,44,1976,2296,3546,6190,1010
"KCNE4",136,141,630,232,88,179,213,103,63,104,129,64,127,224,200,211,387,73,294,177,141,49,200
"KCNE5",3,5,16,0,0,0,5,1,0,5,6,0,1,0,0,3,5,0,0,0,0,4,0
"KCNF1",3,2,6,3,0,0,3,5,0,22,0,0,0,0,5,17,4,0,20,4,0,18,0
"KCNG1",16,19,106,6,36,10,13,17,82,19,2,9,19,3,4,7,14,86,20,0,44,10,13
"KCNG2",13,8,6,7,0,18,29,23,15,17,10,0,12,18,0,11,4,3,9,0,0,3,0
"KCNG3",103,166,9,43,0,18,16,27,6,41,14,12,186,15,0,28,32,37,0,0,31,17,0
"KCNG4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNH1",3,6,22,0,13,26,16,32,43,18,28,21,6,15,2,18,31,0,111,8,6,12,0
"KCNH2",60,87,406,698,394,635,166,214,1530,242,123,162,30,68,487,230,424,154,340,591,73,724,39
"KCNH3",9,2,116,14,0,19,14,10,7,10,1,0,1,14,4,6,7,159,11,10,0,0,0
"KCNH4",8,21,34,22,0,30,19,14,16,15,4,16,5,41,14,10,19,0,0,94,7,284,20
"KCNH5",2,0,0,0,33,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,62
"KCNH6",1,0,6,1,1,24,85,20,3,2,3,0,3,1,0,0,12,24,15,0,12,12,0
"KCNH7",3,0,1,0,0,7,1,3,0,0,3,9,1,2,0,3,1,0,0,0,0,0,0
"KCNH8",10,7,62,1024,128,428,1185,621,3066,468,657,755,80,108,1640,673,523,135,288,792,521,971,31
"KCNIP1",0,9,16,1,0,0,4,5,2,8,1,0,4,5,4,4,25,0,0,0,0,0,0
"KCNIP2",64,209,144,96,189,192,98,160,177,55,50,202,27,46,106,51,94,100,106,187,40,66,0
"KCNIP3",9,11,222,44,73,11,82,42,12,26,7,7,11,16,23,18,35,83,25,48,7,13,14
"KCNIP4",8,2,10,0,1,0,18,0,9,13,14,33,5,3,0,4,11,0,1,0,0,0,0
"KCNJ1",1,0,4,1,0,0,3,0,0,2,2,0,4,0,0,2,0,0,0,0,0,0,0
"KCNJ10",55,106,301,0,8,11,33,58,3,9,64,57,4,22,0,9,15,31,44,30,0,60,78
"KCNJ11",54,126,115,50,143,114,132,175,154,28,44,42,30,37,7,37,65,102,79,250,181,167,26
"KCNJ12",4,15,37,111,1,69,17,340,46,17,12,19,22,18,16,5,126,1,6,11,71,0,0
"KCNJ13",55,57,0,11,0,11,16,3,25,6,0,6,5,18,0,17,6,0,0,0,0,0,0
"KCNJ14",33,71,60,106,0,215,100,270,232,24,31,104,41,55,128,47,129,3,308,259,107,145,16
"KCNJ15",119,149,318,25,27,10,112,4,3,163,83,36,786,437,51,70,40,108,146,20,14,52,218
"KCNJ16",2,0,13,1,0,11,7,1,0,43,8,6,1,0,0,0,0,0,0,0,3,1,0
"KCNJ18",0,0,0,2,0,0,3,0,2,1,0,0,5,0,0,0,0,0,0,98,0,0,0
"KCNJ2",774,1064,1079,414,317,683,1408,347,361,735,364,243,1120,829,1053,549,251,188,1030,619,109,453,116
"KCNJ3",384,695,70,100,329,90,354,45,63,29,101,39,117,3,321,28,15,60,49,508,0,6,36
"KCNJ4",5,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNJ5",103,97,138,109,19,18,72,32,21,23,37,50,21,101,136,12,48,76,33,34,0,9,306
"KCNJ6",23,38,10,16,32,1,27,10,16,3,0,0,17,11,0,9,12,0,0,0,15,43,17
"KCNJ8",58,72,329,59,21,88,214,69,13,167,142,68,136,227,194,118,247,0,318,131,0,66,65
"KCNJ9",3,4,0,0,0,0,4,2,6,3,2,0,0,1,0,1,0,0,33,23,0,0,14
"KCNK1",1124,2099,1206,266,256,483,2138,817,992,939,1045,957,1414,374,858,621,212,225,275,834,1744,2137,2066
"KCNK10",33,42,127,29,0,67,384,19,2,48,33,23,9,3,16,19,13,0,0,7,74,16,0
"KCNK12",24,17,27,27,14,22,36,11,2,11,6,3,4,25,0,11,14,0,14,0,0,0,10
"KCNK13",31,26,135,88,40,74,43,20,6,24,34,16,12,43,44,13,40,0,79,49,17,15,121
"KCNK15",10,8,6,16,0,6,7,39,8,6,4,0,6,3,86,49,0,1,26,0,0,0,0
"KCNK16",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNK17",4,7,39,6,0,12,10,23,97,11,15,14,0,20,3,22,14,0,5,73,35,0,0
"KCNK18",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNK2",1,2,19,20,1,7,6,13,0,5,0,0,2,30,0,2,44,0,0,0,6,0,0
"KCNK3",3,9,74,62,35,14,65,47,1,12,1,0,9,2,6,18,20,0,0,1,0,0,0
"KCNK4",2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"KCNK5",783,1159,1025,1619,968,1717,1370,1264,1432,871,1686,1551,593,612,911,1533,778,755,1520,3085,1487,3713,139
"KCNK6",1191,1814,1916,704,568,1400,2235,1731,1060,751,934,835,1049,640,985,624,400,493,922,1409,3854,4181,1018
"KCNK7",22,43,8,24,0,7,46,12,3,4,5,10,9,3,0,10,3,0,0,0,0,0,12
"KCNK9",2,6,10,29,45,9,7,8,1,2,5,9,0,4,4,7,21,0,10,24,0,25,19
"KCNMA1",692,1423,1977,1022,566,359,1616,2155,119,325,410,447,675,800,1007,310,2235,581,134,630,929,153,313
"KCNMB1",40,92,712,199,159,93,107,106,14,49,42,52,100,75,36,51,152,143,177,196,26,27,150
"KCNMB2",2,0,5,0,0,13,16,9,7,4,0,5,1,4,0,1,9,26,0,0,0,0,0
"KCNMB3",117,290,168,189,88,186,231,246,675,158,141,179,148,128,158,120,187,52,193,329,348,97,35
"KCNMB4",132,159,279,30,7,190,92,306,262,78,225,211,91,39,29,385,116,0,354,192,20,193,42
"KCNN1",6,6,18,20,1,2,2,4,1,2,6,1,1,4,0,4,5,1,3,0,13,25,0
"KCNN2",55,123,23,28,2,20,36,12,4,5,7,21,142,14,22,10,16,0,79,0,36,0,0
"KCNN3",76,172,378,286,43,283,681,166,84,135,227,135,38,268,114,179,338,233,262,67,52,116,25
"KCNN4",1320,2258,1120,1891,1860,1531,2956,2364,6574,946,607,544,465,926,1881,2018,1332,486,2134,3585,1947,4379,897
"KCNQ1",462,1613,1400,1690,2276,3039,1100,1385,6905,732,1073,2129,428,532,1864,733,606,597,1011,3706,453,4930,577
"KCNQ2",5,3,21,7,0,3,1,0,2,6,0,0,2,2,9,3,0,14,268,0,0,0,0
"KCNQ3",146,208,144,47,1,44,35,42,33,25,22,19,111,131,103,23,71,28,75,32,3,23,0
"KCNQ4",80,371,407,21,59,94,272,883,90,15,8,31,73,22,21,8,22,30,30,19,455,44,34
"KCNQ5",16,27,66,0,1,7,18,40,6,6,31,13,12,28,6,9,12,1,0,0,0,0,0
"KCNRG",5,18,3,0,0,0,9,11,50,11,9,0,5,20,0,10,5,0,14,0,0,12,0
"KCNS1",1,5,3,61,0,0,4,1,4,2,0,0,7,9,0,3,0,0,0,0,38,26,0
"KCNS2",6,0,7,1,0,13,13,0,0,14,11,16,0,4,0,8,12,0,0,0,0,0,0
"KCNS3",76,72,631,188,290,135,748,66,675,534,427,219,635,133,173,79,246,48,192,263,126,1047,59
"KCNT1",3,1,10,35,0,1,7,6,3,5,0,0,2,4,1,3,11,0,20,6,0,0,0
"KCNT2",51,73,100,92,0,135,257,48,16,126,64,53,40,90,53,62,184,26,0,31,42,22,0
"KCNU1",2,0,4,2,1,1,5,0,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0
"KCNV1",11,32,35,0,26,0,25,247,6,1,2,4,44,0,0,8,4,0,0,18,237,0,24
"KCNV2",5,0,1,0,0,0,6,0,21,6,0,0,4,4,0,9,0,1,0,0,0,0,0
"KCP",199,306,49,250,245,256,249,182,266,190,118,67,81,233,119,221,174,281,366,532,36,630,21
"KCTD1",233,313,421,120,84,194,631,178,71,93,68,91,77,119,159,75,176,28,164,93,49,57,138
"KCTD10",870,2223,3684,2740,2079,3179,2855,2072,3184,1211,2136,2511,1573,1335,1560,1107,2430,601,5164,5524,2434,5719,945
"KCTD11",302,494,862,704,154,211,596,363,472,223,266,202,245,293,204,280,411,114,512,821,318,845,447
"KCTD12",1780,3492,7225,3204,1298,2485,4582,1811,778,2327,2006,1651,4804,2658,1849,1170,2712,201,2210,1774,4716,880,2328
"KCTD13",526,1456,1333,689,800,936,849,1180,1179,452,429,733,252,439,334,669,655,1268,2798,1589,550,918,219
"KCTD14",363,1011,911,269,197,408,495,291,228,101,240,248,123,121,49,114,211,27,336,346,1124,1227,834
"KCTD15",347,593,1454,430,361,383,1655,460,154,244,208,176,368,280,375,251,573,378,539,395,576,242,301
"KCTD16",6,9,4,0,0,153,1422,24,450,121,46,35,7,8,10,195,76,0,20,807,0,10,20
"KCTD17",261,474,1192,450,281,454,542,258,334,342,442,595,143,440,209,233,197,227,588,384,152,1911,244
"KCTD18",525,766,765,416,280,444,1182,437,738,579,870,600,254,484,381,365,713,73,705,891,750,1437,104
"KCTD19",1,1,28,0,0,0,12,9,2,8,5,7,1,2,0,6,0,0,0,0,0,0,20
"KCTD2",561,742,1582,538,484,791,1270,732,926,565,711,544,494,610,383,450,679,226,903,1263,506,1606,678
"KCTD20",2505,4051,4706,2652,4235,3205,5968,2965,6819,3074,4734,2828,3002,3577,3682,2770,3953,882,4605,4876,2927,5298,965
"KCTD21",159,419,502,327,369,281,372,226,239,152,280,281,123,229,183,177,218,90,475,593,429,715,166
"KCTD3",2387,3709,2427,1335,3210,1589,4519,2631,4278,2467,3257,2140,2591,2134,3318,1859,2881,362,2574,3763,4665,3660,1502
