"","values","cell_types","models","cols"
"185",0.464691333459902,"CD4 Tcells","CIBERSORTx","uncorrected_gd"
"186",0.251306881600919,"Regulatory CD4 Tcells","CIBERSORTx","uncorrected_gd"
"187",NA,"CD8 Tcells","CIBERSORTx","uncorrected_gd"
"188",0.188978546653488,"Proliferative Tcells","CIBERSORTx","uncorrected_gd"
"189",0.13145428102897,"NK cells","CIBERSORTx","uncorrected_gd"
"190",0.353797643430057,"Cancer cells","CIBERSORTx","uncorrected_gdwoOthers"
"191",0.270123882181861,"Stromal cells","CIBERSORTx","uncorrected_gdwoOthers"
"192",0.330394573674484,"Macro/mono Lineage","CIBERSORTx","uncorrected_gdwoOthers"
"193",0.406715965262197,"Bcells","CIBERSORTx","uncorrected_gdwoOthers"
"194",0.441796225961007,"CD4 Tcells","CIBERSORTx","uncorrected_gdwoOthers"
"195",0.243596641980862,"Regulatory CD4 Tcells","CIBERSORTx","uncorrected_gdwoOthers"
"196",NA,"CD8 Tcells","CIBERSORTx","uncorrected_gdwoOthers"
"197",0.198606567373237,"Proliferative Tcells","CIBERSORTx","uncorrected_gdwoOthers"
"198",0.165262358008981,"NK cells","CIBERSORTx","uncorrected_gdwoOthers"
"199",0.470739667525192,"Cancer cells","DigitalDLSorter","uncorrected_gd"
"200",0.442041490090864,"Stromal cells","DigitalDLSorter","uncorrected_gd"
"201",0.36462683027171,"Macro/mono Lineage","DigitalDLSorter","uncorrected_gd"
"202",-0.0361995697365585,"Bcells","DigitalDLSorter","uncorrected_gd"
"203",-0.00718641381676756,"CD4 Tcells","DigitalDLSorter","uncorrected_gd"
"204",0.255622040710028,"Regulatory CD4 Tcells","DigitalDLSorter","uncorrected_gd"
"205",0.465788658509969,"CD8 Tcells","DigitalDLSorter","uncorrected_gd"
"206",0.776350370667183,"Proliferative Tcells","DigitalDLSorter","uncorrected_gd"
"207",-0.25656468595052,"NK cells","DigitalDLSorter","uncorrected_gd"
"208",0.44634791278111,"Cancer cells","DigitalDLSorter","uncorrected_gdwoOthers"
"209",0.438371012118113,"Stromal cells","DigitalDLSorter","uncorrected_gdwoOthers"
"210",0.368003060061768,"Macro/mono Lineage","DigitalDLSorter","uncorrected_gdwoOthers"
"211",-0.0186674760336938,"Bcells","DigitalDLSorter","uncorrected_gdwoOthers"
"212",0.0148519020678477,"CD4 Tcells","DigitalDLSorter","uncorrected_gdwoOthers"
"213",0.285283934935224,"Regulatory CD4 Tcells","DigitalDLSorter","uncorrected_gdwoOthers"
"214",0.487293567519791,"CD8 Tcells","DigitalDLSorter","uncorrected_gdwoOthers"
"215",0.799473875692023,"Proliferative Tcells","DigitalDLSorter","uncorrected_gdwoOthers"
"216",-0.229084669434683,"NK cells","DigitalDLSorter","uncorrected_gdwoOthers"
"217",0.468728730203855,"Cancer cells","DWLS","uncorrected_gd"
"218",0.382193223214139,"Stromal cells","DWLS","uncorrected_gd"
"219",0.625859796996616,"Macro/mono Lineage","DWLS","uncorrected_gd"
"220",0.351931867134944,"Bcells","DWLS","uncorrected_gd"
"221",0.0594328411026943,"CD4 Tcells","DWLS","uncorrected_gd"
"222",0.28464916906119,"Regulatory CD4 Tcells","DWLS","uncorrected_gd"
"223",0.172522037266263,"CD8 Tcells","DWLS","uncorrected_gd"
"224",0.667863527455223,"Proliferative Tcells","DWLS","uncorrected_gd"
"225",-0.0369342158087549,"NK cells","DWLS","uncorrected_gd"
"226",0.409957611167608,"Cancer cells","DWLS","uncorrected_gdwoOthers"
"227",0.372822974606879,"Stromal cells","DWLS","uncorrected_gdwoOthers"
"228",0.614437834800911,"Macro/mono Lineage","DWLS","uncorrected_gdwoOthers"
"229",0.356031824510107,"Bcells","DWLS","uncorrected_gdwoOthers"
"230",0.0485595299196463,"CD4 Tcells","DWLS","uncorrected_gdwoOthers"
"231",0.333422582831515,"Regulatory CD4 Tcells","DWLS","uncorrected_gdwoOthers"
"232",0.164400047278567,"CD8 Tcells","DWLS","uncorrected_gdwoOthers"
"233",0.67033152877235,"Proliferative Tcells","DWLS","uncorrected_gdwoOthers"
"234",-0.0450385940914827,"NK cells","DWLS","uncorrected_gdwoOthers"
"235",0.312880904153259,"Cancer cells","MOMF","uncorrected_gd"
"236",0.0857582923656824,"Stromal cells","MOMF","uncorrected_gd"
"237",0.181612565931096,"Macro/mono Lineage","MOMF","uncorrected_gd"
"238",0.04124744207609,"Bcells","MOMF","uncorrected_gd"
"239",NA,"CD4 Tcells","MOMF","uncorrected_gd"
