"","values","samples","models","cols"
"194",0.0814507932769874,"NIC21","DWLS","uncorrected_woProl_gd"
"195",0.139290305017591,"NIC22nova","DWLS","uncorrected_woProl_gd"
"196",0.171133134530824,"NIC22","DWLS","uncorrected_woProl_gd"
"197",0.0764267575698927,"NIC23","DWLS","uncorrected_woProl_gd"
"198",0.154390296970103,"NIC24","DWLS","uncorrected_woProl_gd"
"199",0.0523461717806177,"NIC25","DWLS","uncorrected_woProl_gd"
"200",0.0872435136154372,"NIC27","DWLS","uncorrected_woProl_gd"
"201",0.197166788015842,"NIC29","DWLS","uncorrected_woProl_gd"
"202",0.297341745558023,"NIC3","DWLS","uncorrected_woProl_gd"
"203",0.206416005323669,"NIC4","DWLS","uncorrected_woProl_gd"
"204",0.0926707974091751,"NIC5","DWLS","uncorrected_woProl_gd"
"205",0.046693540666833,"NIC6","DWLS","uncorrected_woProl_gd"
"206",0.116566130864636,"NIC7","DWLS","uncorrected_woProl_gd"
"207",0.109193753497522,"S52","DWLS","uncorrected_woProl_gd"
"208",0.100243719138225,"NIC12nova","DWLS","uncorrected_woProl_gdwoOthers"
"209",0.117244388187071,"NIC12","DWLS","uncorrected_woProl_gdwoOthers"
"210",0.230918820595227,"NIC13","DWLS","uncorrected_woProl_gdwoOthers"
"211",0.200149505412,"NIC15","DWLS","uncorrected_woProl_gdwoOthers"
"212",0.0757448717531769,"NIC16","DWLS","uncorrected_woProl_gdwoOthers"
"213",0.136572900460167,"NIC17","DWLS","uncorrected_woProl_gdwoOthers"
"214",0.0840588606465567,"NIC18","DWLS","uncorrected_woProl_gdwoOthers"
"215",0.115826397025822,"NIC19","DWLS","uncorrected_woProl_gdwoOthers"
"216",0.0293988096421869,"NIC20","DWLS","uncorrected_woProl_gdwoOthers"
"217",0.0786279667510856,"NIC21","DWLS","uncorrected_woProl_gdwoOthers"
"218",0.150597740763627,"NIC22nova","DWLS","uncorrected_woProl_gdwoOthers"
"219",0.182732954352284,"NIC22","DWLS","uncorrected_woProl_gdwoOthers"
"220",0.079547396139882,"NIC23","DWLS","uncorrected_woProl_gdwoOthers"
"221",0.164161475057596,"NIC24","DWLS","uncorrected_woProl_gdwoOthers"
"222",0.0499594018441642,"NIC25","DWLS","uncorrected_woProl_gdwoOthers"
"223",0.0848950973601821,"NIC27","DWLS","uncorrected_woProl_gdwoOthers"
"224",0.198241017151784,"NIC29","DWLS","uncorrected_woProl_gdwoOthers"
"225",0.304933620597154,"NIC3","DWLS","uncorrected_woProl_gdwoOthers"
"226",0.217276416670142,"NIC4","DWLS","uncorrected_woProl_gdwoOthers"
"227",0.0940283998429096,"NIC5","DWLS","uncorrected_woProl_gdwoOthers"
"228",0.0466920022204569,"NIC6","DWLS","uncorrected_woProl_gdwoOthers"
"229",0.111765758660653,"NIC7","DWLS","uncorrected_woProl_gdwoOthers"
"230",0.113343263804502,"S52","DWLS","uncorrected_woProl_gdwoOthers"
"231",0.333304445346871,"NIC12nova","MOMF","uncorrected_woProl_gd"
"232",0.299213633191984,"NIC12","MOMF","uncorrected_woProl_gd"
"233",0.226434340394265,"NIC13","MOMF","uncorrected_woProl_gd"
"234",0.226620031936287,"NIC15","MOMF","uncorrected_woProl_gd"
"235",0.406216437171472,"NIC16","MOMF","uncorrected_woProl_gd"
"236",0.311573844703188,"NIC17","MOMF","uncorrected_woProl_gd"
"237",0.312613036804348,"NIC18","MOMF","uncorrected_woProl_gd"
"238",0.341237154083167,"NIC19","MOMF","uncorrected_woProl_gd"
"239",0.361990535718531,"NIC20","MOMF","uncorrected_woProl_gd"
"240",0.279118926644063,"NIC21","MOMF","uncorrected_woProl_gd"
"241",0.378877813916107,"NIC22nova","MOMF","uncorrected_woProl_gd"
"242",0.354364351980104,"NIC22","MOMF","uncorrected_woProl_gd"
"243",0.292509521803506,"NIC23","MOMF","uncorrected_woProl_gd"
"244",0.26139246925486,"NIC24","MOMF","uncorrected_woProl_gd"
"245",0.265801928378108,"NIC25","MOMF","uncorrected_woProl_gd"
"246",0.279384857490573,"NIC27","MOMF","uncorrected_woProl_gd"
"247",0.294434958767281,"NIC29","MOMF","uncorrected_woProl_gd"
"248",0.30085782870734,"NIC3","MOMF","uncorrected_woProl_gd"
"249",0.251410813966188,"NIC4","MOMF","uncorrected_woProl_gd"
"250",0.306494873021845,"NIC5","MOMF","uncorrected_woProl_gd"
"251",0.259346254642167,"NIC6","MOMF","uncorrected_woProl_gd"
"252",0.270720767318452,"NIC7","MOMF","uncorrected_woProl_gd"
"253",0.28446437110597,"S52","MOMF","uncorrected_woProl_gd"
"254",0.34274099244988,"NIC12nova","MOMF","uncorrected_woProl_gdwoOthers"
"255",0.309186045908997,"NIC12","MOMF","uncorrected_woProl_gdwoOthers"
"256",0.249131901657399,"NIC13","MOMF","uncorrected_woProl_gdwoOthers"
"257",0.231674053484077,"NIC15","MOMF","uncorrected_woProl_gdwoOthers"
"258",0.410301645080984,"NIC16","MOMF","uncorrected_woProl_gdwoOthers"
"259",0.315000482743722,"NIC17","MOMF","uncorrected_woProl_gdwoOthers"
"260",0.320851740080764,"NIC18","MOMF","uncorrected_woProl_gdwoOthers"
"261",0.342698274714767,"NIC19","MOMF","uncorrected_woProl_gdwoOthers"
"262",0.362856850316112,"NIC20","MOMF","uncorrected_woProl_gdwoOthers"
"263",0.287863622688874,"NIC21","MOMF","uncorrected_woProl_gdwoOthers"
"264",0.39159315806078,"NIC22nova","MOMF","uncorrected_woProl_gdwoOthers"
"265",0.367382031052166,"NIC22","MOMF","uncorrected_woProl_gdwoOthers"
"266",0.29935337776951,"NIC23","MOMF","uncorrected_woProl_gdwoOthers"
"267",0.278844331483741,"NIC24","MOMF","uncorrected_woProl_gdwoOthers"
"268",0.26967778971539,"NIC25","MOMF","uncorrected_woProl_gdwoOthers"
"269",0.287243928468534,"NIC27","MOMF","uncorrected_woProl_gdwoOthers"
"270",0.296974353019433,"NIC29","MOMF","uncorrected_woProl_gdwoOthers"
"271",0.308390444328869,"NIC3","MOMF","uncorrected_woProl_gdwoOthers"
"272",0.264433360052778,"NIC4","MOMF","uncorrected_woProl_gdwoOthers"
"273",0.308280353097222,"NIC5","MOMF","uncorrected_woProl_gdwoOthers"
"274",0.264409823102952,"NIC6","MOMF","uncorrected_woProl_gdwoOthers"
"275",0.275852859488353,"NIC7","MOMF","uncorrected_woProl_gdwoOthers"
"276",0.289129031389445,"S52","MOMF","uncorrected_woProl_gdwoOthers"
"277",0.197881163379563,"NIC12nova","MuSiC_wGrouping","uncorrected_woProl_gd"
"278",0.197812221995693,"NIC12","MuSiC_wGrouping","uncorrected_woProl_gd"
"279",0.183220062402046,"NIC13","MuSiC_wGrouping","uncorrected_woProl_gd"
"280",0.13492975807467,"NIC15","MuSiC_wGrouping","uncorrected_woProl_gd"
"281",0.27763842102032,"NIC16","MuSiC_wGrouping","uncorrected_woProl_gd"
"282",0.207511581724968,"NIC17","MuSiC_wGrouping","uncorrected_woProl_gd"
"283",0.16122110564139,"NIC18","MuSiC_wGrouping","uncorrected_woProl_gd"
"284",0.253463482165416,"NIC19","MuSiC_wGrouping","uncorrected_woProl_gd"
"285",0.244254779271468,"NIC20","MuSiC_wGrouping","uncorrected_woProl_gd"
"286",0.109744838525957,"NIC21","MuSiC_wGrouping","uncorrected_woProl_gd"
