"","values","cell_types","models","cols"
"130",0.642117609012577,"Stromal cells","SCDC","uncorrected_woProl_gd"
"131",0.0757554540897448,"Macro/mono Lineage","SCDC","uncorrected_woProl_gd"
"132",0.00422675222354473,"Bcells","SCDC","uncorrected_woProl_gd"
"133",0.0441609019534661,"CD4 Tcells","SCDC","uncorrected_woProl_gd"
"134",0.0202389165377093,"Regulatory CD4 Tcells","SCDC","uncorrected_woProl_gd"
"135",0.0220370755889422,"CD8 Tcells","SCDC","uncorrected_woProl_gd"
"136",0.0237866984392222,"NK cells","SCDC","uncorrected_woProl_gd"
"137",0.557641260675346,"Cancer cells","SCDC","uncorrected_woProl_gdwoOthers"
"138",0.635102811120783,"Stromal cells","SCDC","uncorrected_woProl_gdwoOthers"
"139",0.0775682145831776,"Macro/mono Lineage","SCDC","uncorrected_woProl_gdwoOthers"
"140",0.0045844294643717,"Bcells","SCDC","uncorrected_woProl_gdwoOthers"
"141",0.04749965883081,"CD4 Tcells","SCDC","uncorrected_woProl_gdwoOthers"
"142",0.019835789353696,"Regulatory CD4 Tcells","SCDC","uncorrected_woProl_gdwoOthers"
"143",0.0239655565272747,"CD8 Tcells","SCDC","uncorrected_woProl_gdwoOthers"
"144",0.0236519508233883,"NK cells","SCDC","uncorrected_woProl_gdwoOthers"
"145",0.53023680751737,"Cancer cells","BisqueRNA","uncorrected_gd"
"146",0.115659099556197,"Stromal cells","BisqueRNA","uncorrected_gd"
"147",0.0841873114178513,"Macro/mono Lineage","BisqueRNA","uncorrected_gd"
"148",0.104187117162163,"Bcells","BisqueRNA","uncorrected_gd"
"149",0.136844917687383,"CD4 Tcells","BisqueRNA","uncorrected_gd"
"150",0.129913311432774,"Regulatory CD4 Tcells","BisqueRNA","uncorrected_gd"
"151",0.10400936459104,"CD8 Tcells","BisqueRNA","uncorrected_gd"
"152",0.101074335153471,"Proliferative Tcells","BisqueRNA","uncorrected_gd"
"153",0.0897433010029571,"NK cells","BisqueRNA","uncorrected_gd"
"154",0.559607063730784,"Cancer cells","BisqueRNA","uncorrected_gdwoOthers"
"155",0.114882571768169,"Stromal cells","BisqueRNA","uncorrected_gdwoOthers"
"156",0.0830799146447827,"Macro/mono Lineage","BisqueRNA","uncorrected_gdwoOthers"
"157",0.104045173803049,"Bcells","BisqueRNA","uncorrected_gdwoOthers"
"158",0.135426896761131,"CD4 Tcells","BisqueRNA","uncorrected_gdwoOthers"
"159",0.129573858560695,"Regulatory CD4 Tcells","BisqueRNA","uncorrected_gdwoOthers"
"160",0.102254248847664,"CD8 Tcells","BisqueRNA","uncorrected_gdwoOthers"
"161",0.101009676708921,"Proliferative Tcells","BisqueRNA","uncorrected_gdwoOthers"
"162",0.0895680641132249,"NK cells","BisqueRNA","uncorrected_gdwoOthers"
"163",0.5768682301852,"Cancer cells","BSeqSC","uncorrected_gd"
"164",0.140342695817865,"Stromal cells","BSeqSC","uncorrected_gd"
"165",0.0639807147714916,"Macro/mono Lineage","BSeqSC","uncorrected_gd"
"166",0.156183933000269,"Bcells","BSeqSC","uncorrected_gd"
"167",0.161710844368883,"CD4 Tcells","BSeqSC","uncorrected_gd"
"168",0.122710080284733,"Regulatory CD4 Tcells","BSeqSC","uncorrected_gd"
"169",0.0329571069205665,"CD8 Tcells","BSeqSC","uncorrected_gd"
